,Mill TPH,Clinker TPH,Gypsum TPH,DFA TPH,WFA TPH,Mill KW,Mill I/L Temp,Mill O/L Temp,Mill O/L BE Amp,Mill Vent Fan RPM,Mill Vent Fan KW,Mill Vent BF I/L Draft,Mill Vent BF O/L Draft,Reject,Sep RPM,Sep KW,Sep Amp,CA Fan RPM,CA Fan KW,Mill Folaphone,Mill I/L Draft,Mill O/L Draft,Sep. Vent I/L Draft,Sep. Vent O/L Draft,Sep.Vent bag filter fan kw,Sep.Vent bag filter fan rpm,"Residue
(45µ)"
Mill TPH,1.0,0.9025477014686205,0.7242737418384353,0.9256464342620185,-0.5853142852566285,0.24853940666795887,-0.009122575736356409,0.07283659055645263,0.03508380254307011,-0.032751095973101954,0.18261389506562636,0.19973208590068167,0.031491628789052484,0.020782219346333806,-0.24622889669662879,-0.08889128422336381,-0.05981483973779282,0.27101515263407083,0.15235460007244225,-0.16569693938256586,0.08434779184579098,0.19259120799441393,-0.00029826935745248367,-0.02476701294025942,-0.026530769536537473,-0.1215860872602965,-0.0015199222368801216
Clinker TPH,0.9025477014686205,1.0,0.7492647528500396,0.7655039776123755,-0.7983847985924332,0.17841879315958417,-0.1311664737326905,-0.027499673732800406,-0.09947495455666149,0.24334985546484808,0.0067579231708257675,0.1864907475240212,0.1052062342159291,-0.051965421333811705,-0.3651376850099337,-0.10122517697215991,-0.13236122946339574,0.26959180052719245,0.18429477897414132,-0.1862966381802566,0.013205574730335165,0.23605869910235355,-0.017815371165371848,-0.04892149958507082,-0.18291027821176054,-0.20240297105433253,-0.03456280237342796
Gypsum TPH,0.7242737418384353,0.7492647528500396,1.0,0.5462776857751177,-0.490112358223544,0.21525508577771912,-0.3613465267417981,-0.20873013124914963,-0.22226042588744901,0.1826878558273132,-0.12894149223963822,-0.23008054374481213,-0.11335726440197927,-0.1475349855726009,-0.10732579502288767,-0.17248364427941607,-0.15175959876395131,0.016873051250011227,-0.00558218916522787,-0.45271701103959433,-0.35567295197150267,0.004225375664930975,-0.04372509571207484,-0.053713586000653346,-0.467590341174992,-0.3723102818578898,-0.07121230710614887
DFA TPH,0.9256464342620185,0.7655039776123755,0.5462776857751177,1.0,-0.6092326259312029,0.16608076380245973,0.07310066898314528,0.12233056941515374,0.06771740139014129,-0.09484803327466981,0.23961633691687667,0.27297846438309953,0.07720570709979993,0.07706631974628764,-0.2962340231859318,-0.07092257019969204,-0.04676948759359624,0.3429364495235956,0.20039653622762293,-0.05781513242340869,0.18897017590109125,0.23360530423625087,0.0014793007815384204,-0.01999558914321149,0.06660220643666323,-0.01629383623297025,0.02148186337146847
WFA TPH,-0.5853142852566285,-0.7983847985924332,-0.490112358223544,-0.6092326259312029,1.0,0.04152474553798132,0.17993824985607607,0.09891173927097169,0.22539870971471512,-0.4522472324610649,0.13894398982242717,-0.20953835952303784,-0.22577574926136587,0.06462676253236853,0.5263273381047155,0.09555255541431483,0.19511190882108997,-0.3284509367579942,-0.25934498214919105,0.06879855925467748,-0.03377364881924023,-0.3045250821674457,0.03833852304506543,0.06873775809778997,0.2580024438427593,0.15051130438631088,0.04375645980428781
Mill KW,0.24853940666795887,0.17841879315958417,0.21525508577771912,0.16608076380245973,0.04152474553798132,1.0,0.17896361615048192,0.18925241245349794,0.19165540210579618,-0.20227978791302037,0.26134938861951623,0.07575918232447607,-0.046493002399475535,0.00868188152775078,0.15660227323335962,0.014702870639723408,0.12123869764563504,-0.022796898466363177,0.015280631664599878,-0.15957491457913878,0.08311547520023735,-0.05085959302177639,0.06035887218164584,0.04936361984913539,0.2331045034880634,0.0007441378777095335,-0.011011649968976921
Mill I/L Temp,-0.009122575736356409,-0.1311664737326905,-0.3613465267417981,0.07310066898314528,0.17993824985607607,0.17896361615048192,1.0,0.6356643490795418,0.6573357129324137,-0.3277352059735637,0.5239169338943157,0.5027252294577255,0.10457265056521685,0.23441912309129995,0.1818939256766992,0.3712365865848624,0.4125033814479339,0.18749534166312826,0.15510451500197275,0.4706846962108845,0.6956859141743267,0.236923487353626,0.14064723336055696,0.11170369668698554,0.8213160200128695,0.3035066184932943,0.032574298794406646
Mill O/L Temp,0.07283659055645263,-0.027499673732800406,-0.20873013124914963,0.12233056941515374,0.09891173927097169,0.18925241245349794,0.6356643490795418,1.0,0.35039136740945115,-0.27298824195485333,0.4749526209444981,0.4269986127411718,0.18934045393651613,0.16240615676519257,0.17090611790690294,0.25494814848889513,0.28829630713327664,0.1859792459969181,0.16853154004820137,0.35389131708498595,0.5406813959956085,0.18098302564333155,0.12046653856790211,0.0848671156643275,0.6336215425016298,0.20809298941552518,0.01621703233731287
Mill O/L BE Amp,0.03508380254307011,-0.09947495455666149,-0.22226042588744901,0.06771740139014129,0.22539870971471512,0.19165540210579618,0.6573357129324137,0.35039136740945115,1.0,-0.40027080169064205,0.40117865088353116,0.3663285065261472,0.04207632439527614,0.2235158208569445,0.11810912259453854,0.4124729654181553,0.41212320767785066,0.07527114371387333,0.06285833731397497,0.30378056695592687,0.5012962498861345,0.1240505828859604,0.1127811457001724,0.08433227513770566,0.6568546907908211,0.23803338512511663,0.049567368645249965
Mill Vent Fan RPM,-0.032751095973101954,0.24334985546484808,0.1826878558273132,-0.09484803327466981,-0.4522472324610649,-0.20227978791302037,-0.3277352059735637,-0.27298824195485333,-0.40027080169064205,1.0,-0.3844766230403317,-0.0009140393653238975,0.2578887360435847,-0.12439075339324354,-0.2263292433112535,-0.08699427252428374,-0.20414212227506093,-0.020397830325825927,0.027653096480325056,-0.1449292570242115,-0.24868152230416202,0.034223688419673,-0.07180406633189702,-0.07695526909541296,-0.467010219253403,-0.09578312582384466,-0.07447250462504948
Mill Vent Fan KW,0.18261389506562636,0.0067579231708257675,-0.12894149223963822,0.23961633691687667,0.13894398982242717,0.26134938861951623,0.5239169338943157,0.4749526209444981,0.40117865088353116,-0.3844766230403317,1.0,0.4327839255834595,0.08020074121427326,0.13420636502751912,0.17380101241010584,0.018588424902861903,0.22145190796628672,0.23852975146777586,0.022837039899265433,0.28101590461441067,0.5221140548585658,0.14375554171076485,0.0990221897501747,0.07490052218696101,0.6374371295533118,0.2515082388634183,0.0487938554049235
Mill Vent BF I/L Draft,0.19973208590068167,0.1864907475240212,-0.23008054374481213,0.27297846438309953,-0.20953835952303784,0.07575918232447607,0.5027252294577255,0.4269986127411718,0.3663285065261472,-0.0009140393653238975,0.4327839255834595,1.0,0.19842885214147224,0.2803313790688773,-0.11823189645345031,0.3039731540007257,0.25454225121412377,0.3319543827858458,0.11984286224812365,0.43278609623235353,0.6228521459581744,0.35190459805443297,0.09000846125896207,0.0600429774207851,0.5707423280277637,0.22790612066008628,0.07131497288045734
Mill Vent BF O/L Draft,0.031491628789052484,0.1052062342159291,-0.11335726440197927,0.07720570709979993,-0.22577574926136587,-0.046493002399475535,0.10457265056521685,0.18934045393651613,0.04207632439527614,0.2578887360435847,0.08020074121427326,0.19842885214147224,1.0,0.10216615478078427,-0.258747129897245,0.006170016124147618,0.05373777094890322,0.23362003202195258,0.1300519252454069,0.1806333324666372,0.20728512643466276,0.1593166712769886,-0.001880398603545438,0.027561142838998885,0.14255021682117464,0.10546181476060784,0.02631220201784356
Reject,0.020782219346333806,-0.051965421333811705,-0.1475349855726009,0.07706631974628764,0.06462676253236853,0.00868188152775078,0.23441912309129995,0.16240615676519257,0.2235158208569445,-0.12439075339324354,0.13420636502751912,0.2803313790688773,0.10216615478078427,1.0,0.037569304019792776,0.3319575145831012,0.3238775204520309,0.020639106251765144,-0.10231671120921643,0.12424049945563033,0.19476775491877152,0.07554813127102633,0.01969438001070827,0.026780755516970265,0.23558394675254102,0.21080759776236954,0.08615782646155352
Sep RPM,-0.24622889669662879,-0.3651376850099337,-0.10732579502288767,-0.2962340231859318,0.5263273381047155,0.15660227323335962,0.1818939256766992,0.17090611790690294,0.11810912259453854,-0.2263292433112535,0.17380101241010584,-0.11823189645345031,-0.258747129897245,0.037569304019792776,1.0,0.22532909435502638,0.2927220714857395,-0.5731843843879844,-0.45260468189654557,-0.06821553234398138,-0.18247872556254996,-0.3759124405873759,0.044112860091891304,0.016077723778579203,0.13516458615022753,0.08256232048164758,-0.022253886934424188
Sep KW,-0.08889128422336381,-0.10122517697215991,-0.17248364427941607,-0.07092257019969204,0.09555255541431483,0.014702870639723408,0.3712365865848624,0.25494814848889513,0.4124729654181553,-0.08699427252428374,0.018588424902861903,0.3039731540007257,0.006170016124147618,0.3319575145831012,0.22532909435502638,1.0,0.7844208684412679,-0.2520342896766525,-0.3507788684322203,0.13000809334302618,0.22953070147331708,0.023453692301615536,0.04555935831216891,-0.020236062028719776,0.2570823465553274,0.17556472489136216,0.028612205230164087
Sep Amp,-0.05981483973779282,-0.13236122946339574,-0.15175959876395131,-0.04676948759359624,0.19511190882108997,0.12123869764563504,0.4125033814479339,0.28829630713327664,0.41212320767785066,-0.20414212227506093,0.22145190796628672,0.25454225121412377,0.05373777094890322,0.3238775204520309,0.2927220714857395,0.7844208684412679,1.0,-0.20612245396208662,-0.5131105128158414,0.17138121176605603,0.23411969996925866,-0.01473116532886851,0.0727668898155491,-0.0027078640461548056,0.35664542648215175,0.1781693381446533,0.04562505542841952
CA Fan RPM,0.27101515263407083,0.26959180052719245,0.016873051250011227,0.3429364495235956,-0.3284509367579942,-0.022796898466363177,0.18749534166312826,0.1859792459969181,0.07527114371387333,-0.020397830325825927,0.23852975146777586,0.3319543827858458,0.23362003202195258,0.020639106251765144,-0.5731843843879844,-0.2520342896766525,-0.20612245396208662,1.0,0.5549408792575997,0.19008349055880955,0.5012771099083385,0.5045675048883997,0.025796534867004596,0.016810293671498902,0.21998414656416487,0.04630731450647528,0.03241493127903812
CA Fan KW,0.15235460007244225,0.18429477897414132,-0.00558218916522787,0.20039653622762293,-0.25934498214919105,0.015280631664599878,0.15510451500197275,0.16853154004820137,0.06285833731397497,0.027653096480325056,0.022837039899265433,0.11984286224812365,0.1300519252454069,-0.10231671120921643,-0.45260468189654557,-0.3507788684322203,-0.5131105128158414,0.5549408792575997,1.0,0.10396748226285212,0.2986578815184784,0.3068689603984928,0.007611168548390505,0.08139986221417868,0.17305747145308176,0.051716458168738454,0.006971323421870133
Mill Folaphone,-0.16569693938256586,-0.1862966381802566,-0.45271701103959433,-0.05781513242340869,0.06879855925467748,-0.15957491457913878,0.4706846962108845,0.35389131708498595,0.30378056695592687,-0.1449292570242115,0.28101590461441067,0.43278609623235353,0.1806333324666372,0.12424049945563033,-0.06821553234398138,0.13000809334302618,0.17138121176605603,0.19008349055880955,0.10396748226285212,1.0,0.5357659614976968,0.2229284478516052,0.08526925147588031,0.0852313397091205,0.6045148714773574,0.18628644671202746,-0.01928486658758574
Mill I/L Draft,0.08434779184579098,0.013205574730335165,-0.35567295197150267,0.18897017590109125,-0.03377364881924023,0.08311547520023735,0.6956859141743267,0.5406813959956085,0.5012962498861345,-0.24868152230416202,0.5221140548585658,0.6228521459581744,0.20728512643466276,0.19476775491877152,-0.18247872556254996,0.22953070147331708,0.23411969996925866,0.5012771099083385,0.2986578815184784,0.5357659614976968,1.0,0.5121005511910086,0.10743365135844447,0.10817998979919152,0.7865029458563145,0.29710481642098624,0.062592374777574
Mill O/L Draft,0.19259120799441393,0.23605869910235355,0.004225375664930975,0.23360530423625087,-0.3045250821674457,-0.05085959302177639,0.236923487353626,0.18098302564333155,0.1240505828859604,0.034223688419673,0.14375554171076485,0.35190459805443297,0.1593166712769886,0.07554813127102633,-0.3759124405873759,0.023453692301615536,-0.01473116532886851,0.5045675048883997,0.3068689603984928,0.2229284478516052,0.5121005511910086,1.0,0.03240690532352358,-0.001039228514658537,0.20171707286045393,0.027047766638653985,0.016457837878733565
Sep. Vent I/L Draft,-0.00029826935745248367,-0.017815371165371848,-0.04372509571207484,0.0014793007815384204,0.03833852304506543,0.06035887218164584,0.14064723336055696,0.12046653856790211,0.1127811457001724,-0.07180406633189702,0.0990221897501747,0.09000846125896207,-0.001880398603545438,0.01969438001070827,0.044112860091891304,0.04555935831216891,0.0727668898155491,0.025796534867004596,0.007611168548390505,0.08526925147588031,0.10743365135844447,0.03240690532352358,1.0,0.027482065162309416,0.14763992617640112,0.03469292795459993,0.0038925371457713457
Sep. Vent O/L Draft,-0.02476701294025942,-0.04892149958507082,-0.053713586000653346,-0.01999558914321149,0.06873775809778997,0.04936361984913539,0.11170369668698554,0.0848671156643275,0.08433227513770566,-0.07695526909541296,0.07490052218696101,0.0600429774207851,0.027561142838998885,0.026780755516970265,0.016077723778579203,-0.020236062028719776,-0.0027078640461548056,0.016810293671498902,0.08139986221417868,0.0852313397091205,0.10817998979919152,-0.001039228514658537,0.027482065162309416,1.0,0.1378068519853795,0.0310771046318862,-0.010896147530504517
Sep.Vent bag filter fan kw,-0.026530769536537473,-0.18291027821176054,-0.467590341174992,0.06660220643666323,0.2580024438427593,0.2331045034880634,0.8213160200128695,0.6336215425016298,0.6568546907908211,-0.467010219253403,0.6374371295533118,0.5707423280277637,0.14255021682117464,0.23558394675254102,0.13516458615022753,0.2570823465553274,0.35664542648215175,0.21998414656416487,0.17305747145308176,0.6045148714773574,0.7865029458563145,0.20171707286045393,0.14763992617640112,0.1378068519853795,1.0,0.34075137271243106,0.06433035315148251
Sep.Vent bag filter fan rpm,-0.1215860872602965,-0.20240297105433253,-0.3723102818578898,-0.01629383623297025,0.15051130438631088,0.0007441378777095335,0.3035066184932943,0.20809298941552518,0.23803338512511663,-0.09578312582384466,0.2515082388634183,0.22790612066008628,0.10546181476060784,0.21080759776236954,0.08256232048164758,0.17556472489136216,0.1781693381446533,0.04630731450647528,0.051716458168738454,0.18628644671202746,0.29710481642098624,0.027047766638653985,0.03469292795459993,0.0310771046318862,0.34075137271243106,1.0,0.01306288327657714
"Residue
(45µ)",-0.0015199222368801216,-0.03456280237342796,-0.07121230710614887,0.02148186337146847,0.04375645980428781,-0.011011649968976921,0.032574298794406646,0.01621703233731287,0.049567368645249965,-0.07447250462504948,0.0487938554049235,0.07131497288045734,0.02631220201784356,0.08615782646155352,-0.022253886934424188,0.028612205230164087,0.04562505542841952,0.03241493127903812,0.006971323421870133,-0.01928486658758574,0.062592374777574,0.016457837878733565,0.0038925371457713457,-0.010896147530504517,0.06433035315148251,0.01306288327657714,1.0
